Concept,definition,uni_lemma,Pronunciation,Num_Parts,MN_Toddler_Access,MN_Toddler_Access_No_Tax,Phon_1st,SUBTLEX_PM,LN_SUBTLEX,Length_Letters,Length_Phonemes,Length_Syllables,Bigram,Trigram,ColtheartN,Num_Feats_Tax,Num_Feats_No_Tax,Num_Disting_Feats_No_Tax,Disting_Feats_Percent_No_Tax,Mean_Distinct_No_Tax,Mean_CV_No_Tax,Density_No_Tax,Num_Corred_Pairs_No_Tax,Percent_Corred_Pairs_No_Tax,Num_Func,Num_Vis_Mot,Num_VisFandS,Num_Vis_Col,Num_Sound,Num_Taste,Num_Smell,Num_Tact,Num_Percep,Num_Ency,Num_Tax
fireman,fireman,firefighter,[faI][@][m@n],75,4.74,4.74,f,76.74,4.34,7,6,3,380.88,14.8,2,14,14,11,79,0.726,0.681,0,0,0,0,0,2,0,0,0,0,0,2,12,0
firetruck,firetruck,firetruck,[faI][@r*][trVk],40,4.9,4.9,f,1.09,0.09,9,8,3,299.13,36.39,0,17,16,9,56,0.504,0.551,185.01,6,5,4,1,3,1,2,0,0,0,7,5,1
fish_(a_food),fish (food),fish (food),[fIS],43,4.15,4.21,f,1043.23,6.95,4,3,1,1015.51,258.18,3,12,11,1,9,0.219,0.193,1002.49,14,25,3,1,2,0,0,1,1,0,5,3,1
fish_(the_animal),fish (animal),fish (animal),[fIS],66,4.48,4.35,f,1130.17,7.03,4,3,1,1015.51,258.18,3,13,12,4,33,0.459,0.528,1410.11,21,32,1,1,3,1,0,0,0,0,5,6,1
flag,flag,flag,[fl&g],39,4.23,4.35,f,312.34,5.74,4,4,1,317.9,82.54,8,14,13,7,54,0.524,0.466,0,0,0,0,1,5,4,0,0,0,0,10,3,1
flower,flower,flower,[flaU][@r*],45,4.32,4.23,f,1648.88,7.41,6,5,2,1711.65,178.83,4,22,19,11,58,0.602,0.605,258.1,9,5,2,0,3,2,0,0,2,0,7,10,3
food,food,food,[fu:d],44,4.2,4.11,f,1541.04,7.34,4,3,1,2363.14,874.74,10,9,8,2,25,0.277,0.283,86.4,3,11,2,0,0,0,0,1,0,0,1,5,1
fork,fork,fork,[fO:k],30,3.67,3.68,f,167.81,5.12,4,3,1,2377.9,597.01,8,14,13,7,54,0.483,0.465,107.31,5,6,1,0,8,0,0,0,0,1,9,3,1
french_fries,french fries,french fries,[frEntS][fralz],40,3.94,4.02,f,NA,NA,11,9,2,NA,529.33,0,16,14,6,43,0.384,0.415,664.44,18,20,3,0,1,0,0,3,0,2,6,5,2
friend,friend,friend,[frEnd],60,4.37,4.41,f,8660.85,9.07,6,5,1,996.38,232.91,0,11,8,6,75,0.662,0.68,0,0,0,1,0,0,0,0,0,0,0,0,7,3
frog,frog,frog,[frOg],30,4.93,5,f,264.14,5.58,4,4,1,2962.21,264.63,3,16,14,8,57,0.473,0.437,178.94,3,3,0,5,3,1,1,0,0,0,10,4,2
game,game,game,[geIm],61,4.23,4.38,g,3285.8,8.1,4,3,1,3175.21,980.51,13,11,7,5,71,0.727,0.732,47.78,1,5,1,0,0,0,0,0,0,0,0,6,4
garage,garage,garage,[g&][rA:dZ],30,4.18,4.18,g,270.66,5.6,6,5,2,611.33,96.15,0,9,9,4,44,0.509,0.531,115.85,3,8,5,0,3,0,0,0,0,0,3,1,0
garbage,garbage,garbage,[gA:][bIdZ],45,4.36,4.39,g,369.33,5.91,7,5,2,610.79,139.39,0,13,11,9,82,0.622,0.623,38.87,1,2,0,3,1,0,0,0,2,0,6,5,2
garden,garden,garden,[gA:][d],63,4.31,4.31,g,464.92,6.14,6,4,2,963.2,267.8,2,14,14,9,64,0.586,0.625,314.4,6,7,5,0,3,0,0,0,0,0,3,6,0
gas_station,gas station,gas station,[g&s][steI][S],61,4.16,4.16,g,NA,NA,10,8,3,968.2,NA,0,12,12,10,83,0.688,0.65,0,0,0,3,0,4,0,0,0,1,0,5,4,0
giraffe,giraffe,giraffe,[dZI][rA:f],30,4.86,4.98,d,31.65,3.45,7,5,2,85.3,6.15,0,14,12,5,42,0.453,0.461,190.01,3,5,0,1,5,3,0,0,0,0,9,3,2
girl,girl,girl,[g3:l],43,5.2,4.99,g,9134.07,9.12,4,3,1,583.8,277.71,3,11,6,4,67,0.632,0.656,0,0,0,0,1,1,0,0,0,0,0,2,4,5
glass,glass,glass,[glA:s],62,4.19,4.19,g,1119.12,7.02,5,4,1,1016.99,323.18,3,11,11,4,36,0.48,0.461,331.39,7,13,3,1,0,3,0,0,0,1,5,3,0
glasses,glasses,glasses,[glA:][sIz],86,3.87,3.87,g,1322.59,7.19,7,6,2,964.57,233.95,2,13,13,7,54,0.504,0.499,93.48,4,5,5,0,5,0,0,0,0,0,5,3,0
gloves,gloves,gloves,[glVvz],30,4.39,4.2,g,400.13,5.99,6,5,1,964.13,117.71,4,14,12,4,33,0.344,0.331,1248.41,21,32,5,0,4,0,0,0,0,0,4,3,2
glue,glue,glue,[glu:],44,4.35,4.67,g,56.54,4.03,4,3,1,183.72,75.7,6,11,9,4,44,0.406,0.415,52.38,1,3,4,0,0,2,0,0,1,1,4,1,2
goose,goose,goose,[gu:s],30,4.98,4.82,g,238.67,5.48,5,3,1,1892.71,512.27,4,15,13,3,23,0.281,0.27,1199.92,20,26,1,1,6,1,1,0,0,0,9,3,2
grandma,grandma*,grandma,[gr&n][mA:],38,5.26,5.19,g,648.54,6.47,7,6,2,406.72,67.48,1,13,11,7,64,0.58,0.579,112.23,3,5,0,2,1,0,0,0,0,0,3,8,2
grandpa,grandpa*,grandpa,[gr&n][pA:],43,5.51,5.29,g,281.03,5.64,7,6,2,402.7,66.14,1,8,6,3,50,0.44,0.464,49.16,2,13,0,0,1,0,0,0,0,0,1,5,2
grape,grapes,grapes,[greIp],43,4.57,4.5,g,172.34,5.15,5,4,1,764.32,129.28,8,17,16,7,44,0.46,0.468,411.39,12,10,5,0,2,3,0,3,0,0,8,3,1
grass,grass,grass,[grA:s],42,4.69,4.64,g,221.39,5.4,5,4,1,1192.25,297.28,7,12,11,5,45,0.435,0.429,106.11,5,9,1,0,2,1,0,0,0,1,4,6,1
green_beans,green beans,green beans,[gri:n][bi:nz],45,4.24,4.28,g,NA,NA,10,8,2,193.03,NA,0,12,10,1,10,0.209,0.198,124.38,5,11,2,0,1,1,0,0,0,0,2,6,2
gum,gum,gum,[gVm],39,4.66,4.63,g,192.21,5.26,3,3,1,100.1,NA,11,12,11,6,55,0.487,0.507,164.69,3,5,1,0,0,1,0,3,0,2,6,4,1
hair,hair,hair,[hE@r*],38,4.54,4.54,h,2932.25,7.98,4,3,1,3609.63,267.54,5,17,17,7,41,0.46,0.478,107.64,5,4,1,0,6,6,0,0,0,0,12,4,0
hamburger,hamburger,hamburger,[h&m][b3:][g@r*],87,4.68,4.7,h,185.65,5.22,9,8,3,144.52,9.02,0,17,14,8,57,0.484,0.447,131.4,2,2,2,0,9,0,0,1,0,0,10,2,3
hammer,hammer,hammer,[h&][m@r*],30,3.64,3.64,h,216.7,5.38,6,5,2,1925.65,122.34,1,16,15,10,67,0.596,0.626,18.48,1,1,5,0,7,0,1,0,0,1,9,1,1
hand,hand,hand,[h&nd],45,4.81,4.77,h,6981.75,8.85,4,4,1,3920.53,646.59,9,13,12,8,67,0.619,0.592,38.52,2,3,4,0,8,0,0,0,0,0,8,0,1
hat,hat,hat,[h&t],61,4.94,4.93,h,719.46,6.58,3,3,1,4529.32,NA,22,9,7,4,57,0.542,0.55,0,0,0,4,0,0,1,0,0,0,0,1,2,2
head,head,head,[hEd],104,5.12,5.1,h,4981.71,8.51,4,3,1,2653.57,922.23,12,12,11,6,55,0.573,0.595,335.55,6,11,0,0,10,0,0,0,0,0,10,1,1
helicopter,helicopter,helicopter,[hE][lI][kOp][t@r*],30,3.84,3.84,h,208.38,5.34,10,10,4,207.6,NA,0,10,10,5,50,0.48,0.487,71.82,3,7,3,2,3,0,1,0,0,0,6,1,0
hen,hen,hen,[hEn],45,4.9,4.68,h,73.9,4.3,3,3,1,2431.92,NA,17,15,12,4,33,0.298,0.32,632.68,11,17,1,1,3,0,1,0,0,0,5,6,3
high_chair,high chair,high chair,[haI][tSE@r*],43,4.45,4.41,h,1.34,0.29,9,5,2,58.29,10.64,0,9,8,4,50,0.48,0.473,0,0,0,4,0,4,0,0,0,0,0,4,0,1
home,home,home,[h@Um],38,4.56,4.43,h,2269.72,7.73,4,3,1,3827.21,1897.69,10,9,8,4,50,0.573,0.564,136.77,2,7,6,0,0,0,0,0,0,1,1,1,1
horse,horse,horse,[hO:s],30,4.77,4.69,h,2749.19,7.92,5,3,1,2390.84,194.63,5,19,18,5,28,0.31,0.318,940.9,27,18,5,2,6,0,0,0,0,0,8,5,1
hose,hose,hose,[h@Uz],30,4.28,4.34,h,148.45,5,4,3,1,1480.45,151.04,11,16,15,8,53,0.438,0.418,30.74,1,1,4,0,6,1,0,0,0,0,7,4,1
house,house,house,[haUz],61,4.8,4.77,h,12621.88,9.44,5,3,1,3678.92,705.75,5,16,14,8,57,0.632,0.636,202.82,4,4,4,0,10,0,0,0,0,0,10,0,2
ice,ice,ice,[aIs],45,4.57,4.59,a,1117.14,7.02,3,2,1,58.6,NA,3,13,12,8,67,0.547,0.557,57.13,1,2,4,1,2,1,0,0,0,3,7,1,1
ice_cream,ice cream,ice cream,[aIs][kri:m],61,5.06,5.23,a,NA,NA,8,6,2,182.13,12.05,0,13,11,2,18,0.251,0.234,878,23,42,0,0,0,0,0,5,0,2,7,4,2
jacket,jacket,jacket,[dZ&][kIt],30,5.1,5.05,dZ,599.87,6.4,6,5,2,894.71,264.77,2,15,14,4,29,0.326,0.326,857.4,18,20,4,0,6,1,0,0,0,1,8,2,1
jar,jar,jar,[dZA:r*],30,3.97,4,dZ,133.09,4.89,3,3,1,654.47,NA,14,12,11,4,36,0.478,0.495,714.3,13,24,4,0,5,1,0,0,0,0,6,1,1
jeans,jeans,jeans,[dZi:nz],30,4.2,4.09,dZ,100.63,4.61,5,4,1,1483.56,284.46,4,14,13,7,54,0.532,0.542,263.42,6,8,2,0,5,3,0,0,0,1,9,2,1
jello,jello,jello,[dZE][l@U],57,4.89,4.86,dZ,7.76,2.05,5,4,2,325.38,71.03,3,13,12,5,42,0.379,0.36,175.46,5,8,1,1,0,1,0,3,0,1,6,5,1
jelly,jelly,jelly,[dZE][lI],44,4.95,4.95,dZ,88.22,4.48,5,4,2,561.77,151.78,4,11,11,4,36,0.394,0.419,261.64,7,13,2,0,0,0,0,4,0,1,5,4,0
juice,juice,juice,[dZu:s],39,4.92,4.54,dZ,426.11,6.05,5,3,1,1877.69,186.05,1,14,10,2,20,0.253,0.24,315.71,8,18,0,1,2,0,0,2,0,0,5,5,4
key,keys,keys,[ki:],43,4.27,4.27,k,2499.96,7.82,3,2,1,89.43,NA,5,15,15,12,80,0.751,0.75,0,0,0,7,0,4,1,1,0,0,0,6,2,0
kitchen,kitchen,kitchen,[kI][tSIn],78,4.73,4.68,k,1155.21,7.05,7,5,2,1051.16,285.18,0,18,17,13,76,0.719,0.697,0,0,0,4,0,12,0,0,0,0,0,12,1,1
kitty,kitty,kitty,[kI][tI],59,5.71,5.62,k,416.55,6.03,5,4,2,346.95,67.88,3,15,11,3,27,0.289,0.295,469.37,11,20,0,0,3,0,2,0,0,3,8,3,4
knee,knee,knee,[ni:],58,4.04,4.02,n,307.71,5.73,4,2,1,939.26,257.17,1,7,5,3,60,0.717,0.822,159.07,1,10,2,0,2,0,0,0,0,0,2,1,2
knife,knife,knife,[naIf],30,3.54,3.68,n,990.95,6.9,5,3,1,262.77,38.27,0,17,14,8,57,0.524,0.534,155.55,5,5,3,0,6,0,0,0,0,2,8,3,3
ladder,ladder,ladder,[l&][d@r*],56,4.44,4.44,l,130.28,4.87,6,5,2,1876.32,191.4,3,12,12,8,67,0.535,0.529,0,0,0,6,0,5,0,0,0,0,0,5,1,0
lady,lady,lady,[leI][dI],104,4,3.68,l,2311.31,7.75,4,4,2,1070.11,118.27,3,6,5,4,80,0.625,0.583,0,0,0,0,0,1,0,0,0,0,0,1,4,1
lamb,lamb,lamb,[l&m],126,5.18,5.07,l,292.8,5.68,4,3,1,1250.37,32.21,3,13,10,2,20,0.188,0.188,180.43,7,16,2,0,3,1,1,0,0,1,6,2,3
lamp,lamp,lamp,[l&mp],30,4.02,3.96,l,226.64,5.42,4,4,1,1288.74,84.14,8,14,13,9,69,0.65,0.628,148.46,3,4,3,0,6,0,0,0,0,0,6,4,1
lawn_mower,lawn mower,lawn mower,[lO:n][m@U][@r*],65,4.26,4.44,l,5.12,1.63,9,7,3,79.09,3.63,0,10,9,2,22,0.32,0.363,580.54,15,42,4,0,3,0,1,0,0,0,4,1,1
leg,leg,leg,[lEg],64,4.68,4.63,l,1944.84,7.57,3,3,1,348.64,NA,12,16,15,7,47,0.528,0.532,440.2,13,12,3,1,9,0,0,0,0,0,10,2,1
light,light,light (object),[laIt],54,4.54,4.54,l,1615.33,7.39,5,3,1,2289.04,1877.88,8,9,9,5,56,0.659,0.644,0,0,0,2,0,1,0,0,0,0,1,2,5,0
lion,lion,lion,[laI][@n],30,4.55,4.92,l,472.22,6.16,4,4,2,1440.27,16.98,1,20,13,2,15,0.223,0.218,1059.45,27,35,1,0,5,0,1,0,0,0,6,6,7
lips,lips,lips,[lIps],45,5.01,5.01,l,546.19,6.3,4,4,1,1280.55,77.74,11,12,12,6,50,0.474,0.466,105.36,2,3,4,0,2,2,0,0,0,1,5,3,0
living_room,living room,living room,[lI][vIN][ru:m],43,4.57,4.5,l,NA,NA,10,8,3,70.35,NA,0,14,13,6,46,0.469,0.486,145.27,5,6,4,0,7,0,0,0,0,0,7,2,1
lollipop,lollipop,lollipop,[lO][lI][pOp],40,5.4,5.34,l,32.55,3.48,8,7,3,231.64,44.24,0,14,13,4,31,0.336,0.334,511.12,10,13,3,0,3,1,0,2,0,2,8,2,1
mailman,mailman,mailman,[meIl][m&n],60,4.28,4.28,m,39.93,3.69,7,6,2,306.77,36.12,0,12,12,11,92,0.847,0.828,0,0,0,0,1,2,1,0,0,0,0,4,8,0
man,man,man,[m&n],44,4.32,3.9,m,19211.56,9.86,3,3,1,2794.89,NA,19,8,6,3,50,0.51,0.509,0,0,0,0,0,2,0,0,0,0,0,2,4,2
meat,meat,meat,[mi:t],39,3.97,3.78,m,725.92,6.59,4,3,1,6858.02,456.17,13,15,10,5,50,0.565,0.566,42.35,2,4,2,0,0,1,0,0,0,0,1,7,5
medicine,medicine,medicine,[mEd][sIn],102,3.62,3.77,m,381.57,5.94,8,6,2,1069.68,115.17,0,10,9,8,89,0.79,0.796,0,0,0,3,0,2,0,0,1,0,0,3,3,1
melon,melon,melon,[mE][l@n],86,4.78,4.86,m,86.3,4.46,5,5,2,407.7,51.06,1,14,11,1,9,0.153,0.105,397.31,10,18,0,0,3,2,0,2,0,1,8,3,3
milk,milk,milk,[mIlk],75,4.46,4.48,m,544.91,6.3,4,4,1,1505.14,152.38,6,12,10,4,40,0.432,0.456,130.78,4,9,3,0,1,1,0,1,0,0,3,4,2
mittens,mittens,mittens,[mI][tz],30,4.45,4.37,m,23.99,3.18,7,5,2,1052.21,144.37,1,15,14,6,43,0.435,0.45,1294.63,21,23,4,0,3,1,0,0,0,0,4,6,1
mommy,mommy*,mommy,[mO][mi:],64,5.13,4.86,m,6719.19,8.81,5,2,2,624.98,17.93,2,10,7,3,43,0.494,0.438,141.06,2,10,0,0,0,0,0,0,0,0,0,7,3
money,money,money,[mV][nI],36,3.74,3.83,m,6968.31,8.85,5,4,2,782.97,470.27,1,10,7,5,71,0.679,0.715,0,0,0,1,0,2,1,0,0,0,0,3,3,3
monkey,monkey,monkey,[mVN][kI],75,4.9,5.24,m,627.66,6.44,6,5,2,966.16,95.24,1,14,11,5,45,0.411,0.378,145.71,3,5,0,3,2,1,0,0,0,1,7,4,3
moon,moon,moon,[mu:n],57,3.78,3.79,m,789.21,6.67,4,3,1,3112.69,249.21,10,14,13,9,69,0.699,0.702,43.89,2,3,0,0,4,1,0,0,0,0,5,8,1
moose,moose,moose,[mu:s],30,4.48,4.73,m,90.22,4.5,5,3,1,1939.63,499.25,4,15,12,2,17,0.175,0.176,643.43,17,26,2,0,7,1,0,0,0,0,8,2,3
mop,mop,mop,[mOp],98,4.33,4.33,m,24.38,3.19,3,3,1,150.52,NA,14,9,9,4,44,0.412,0.416,186.38,3,8,3,0,3,0,0,0,0,0,3,3,0
motorcycle,motorcycle,motorcycle,[m@U][t@][saI][k],63,4.52,4.49,m,215.85,5.37,10,8,4,125.87,NA,0,15,14,3,21,0.31,0.292,1183.37,28,31,2,1,6,0,1,0,0,0,8,4,1
mouse,mouse,mouse,[maUz],30,4.73,4.73,m,523.58,6.26,5,3,1,3648.97,509.47,6,19,17,8,47,0.534,0.537,401.95,13,10,2,2,5,2,1,0,0,0,10,5,2
mouth,mouth,mouth,[maUD],43,5.26,5.26,m,1543.58,7.34,5,3,1,2950.34,386.56,3,13,13,7,54,0.432,0.429,140.14,5,6,6,0,6,0,0,0,0,0,6,1,0
movies,movie,movie,[mu:][vIz],41,3.93,4.14,m,2204.71,7.7,6,5,2,1471.85,284.02,1,12,10,7,70,0.713,0.705,20.84,1,2,1,0,0,0,0,0,0,0,0,9,2
muffin,muffin,muffin,[mV][fIn],56,4.94,4.9,m,130.32,4.87,6,5,2,223.75,19.79,1,13,11,4,36,0.229,0.217,139.4,4,7,2,0,2,0,0,2,0,1,5,4,2
nail_(an_object),nail,nail (object),[neIl],75,3.84,3.84,n,206.68,5.33,4,3,1,1570.88,99.39,10,10,10,6,60,0.552,0.524,23.09,1,2,4,1,3,0,0,0,0,1,5,1,0
napkin,napkin,napkin,[n&p][kIn],30,4.72,4.72,n,94.06,4.54,6,6,2,254.75,5.7,0,14,14,5,36,0.455,0.452,183.04,5,5,5,0,3,2,0,0,0,1,6,3,0
necklace,necklace,necklace,[nEk][lIs],30,3.25,3.23,n,193.98,5.27,8,6,2,359.18,12.97,0,17,15,10,67,0.708,0.722,143.45,5,5,3,0,8,0,0,0,0,0,8,4,2
noodles,noodles,pasta,[nu:][dz],74,4,3.68,n,108.97,4.69,7,5,2,962.31,92.36,2,13,9,2,22,0.356,0.332,93.42,4,11,5,0,1,0,0,1,0,0,2,2,4
nose,nose,nose,[n@Uz],58,5.12,5.12,n,887.55,6.79,4,3,1,1182.97,175.79,10,11,11,7,64,0.577,0.602,13.14,1,2,3,0,4,0,0,0,0,0,4,4,0
nurse,nurse,nurse,[n3:s],64,4.23,4.32,n,457.46,6.13,5,3,1,1552.31,121.73,2,8,7,6,86,0.75,0.8,0,0,0,1,0,1,0,0,0,0,0,1,5,1
nuts,nuts,nuts,[nVts],126,4.19,4.18,n,772.7,6.65,4,4,1,274.91,60.22,9,12,6,1,17,0.284,0.258,22.14,1,7,2,0,1,0,0,0,0,1,2,2,6
orange,orange (food),orange (food),[O][rIndZ],44,5.05,4.88,O,249.16,5.52,6,5,2,677.64,208.91,1,13,11,3,27,0.273,0.252,357.29,8,15,2,0,3,1,0,2,0,1,7,2,2
outside,outside,outside,[aUt][saId],44,5.21,5.21,a,31.05,3.44,7,5,2,540.94,316.96,1,16,16,8,50,0.504,0.471,276.24,7,6,1,0,5,0,0,0,0,2,7,8,0
oven,oven,oven,[V][v],30,3.88,3.91,V,143.93,4.97,4,3,2,4586.99,1354.92,5,14,13,3,23,0.39,0.414,1041.58,21,27,4,0,4,0,0,0,0,1,5,4,1
owie/boo_boo,owie/boo boo,owie,NA,43,5,4.94,a,0.7,-0.36,4,3,2,24.58,0,0,11,7,6,86,0.762,0.79,0,0,0,0,1,0,0,0,0,0,0,1,6,4
owl,owl,owl,[aUl],30,5.01,4.83,aU,109.25,4.69,3,2,1,467.29,NA,3,13,11,4,36,0.358,0.357,558.5,10,18,0,2,4,1,1,0,0,0,8,3,2
pajamas,pajamas,pajamas,NA,123,5.14,5.09,p,107.8,4.68,7,7,3,209.89,5.41,1,11,10,4,40,0.427,0.442,250.51,5,11,4,0,3,0,0,0,0,2,5,1,1
pancake,pancake,pancake,[p&N][keIk],47,4.74,4.67,p,236.49,5.47,7,6,2,338.67,27.92,0,16,15,5,33,0.399,0.382,116,5,5,1,0,5,1,0,1,0,1,8,6,1
pants,pants,pants,[p&nts],30,4.22,4.26,p,1352.67,7.21,5,5,1,816.87,125.38,7,21,18,8,44,0.448,0.489,779.76,17,11,5,0,11,1,0,0,0,0,12,1,3
paper,paper,paper,[peI][p@r*],63,4.42,4.42,p,1516.86,7.32,5,5,2,2301.46,206.64,6,9,9,5,56,0.505,0.497,27.33,1,3,4,0,0,2,0,0,0,0,2,3,0
park,park,park,[pA:k],44,5.21,5.21,p,631.93,6.45,4,3,1,1605.05,458.77,13,9,9,4,44,0.529,0.517,296.8,7,19,3,0,3,0,0,0,0,0,3,3,0
party,party,party,[pA:][tI],58,4.64,4.82,p,3325.75,8.11,5,4,2,1228.27,537.39,6,12,8,5,62,0.476,0.47,0,0,0,0,0,3,0,2,0,0,0,5,3,4
peanut_butter,peanut butter,peanut butter,[pi:][nVt][bV][t@r*],57,4.61,4.61,p,NA,NA,12,10,7,NA,NA,0,13,13,5,38,0.381,0.405,123.31,5,6,3,0,1,1,0,1,0,5,8,2,0
peas,peas,peas,[pi:z],41,4.89,4.86,p,152.2,5.03,4,3,1,1452.57,31.09,11,14,13,2,15,0.247,0.239,160.88,6,8,3,0,2,1,0,1,0,1,5,5,1
pen,pen,pen,[pEn],30,4.36,4.36,p,405.2,6,3,3,1,692.34,NA,20,14,14,4,29,0.364,0.356,95.62,3,3,1,0,9,3,0,0,0,0,12,1,0
pencil,pencil,pencil,[pEn][s],30,3.79,3.8,p,217.72,5.38,6,5,2,614.46,19.14,0,16,15,8,53,0.613,0.616,315.6,6,6,4,0,7,1,0,0,0,0,8,3,1
penguin,penguin,penguin,[pEN][gwIn],30,4.63,4.46,p,87.92,4.48,7,7,2,538.53,25.81,0,18,16,6,38,0.396,0.419,963.35,23,19,0,3,5,2,0,0,0,0,10,6,2
penis,penis*,penis,[pi:][nIs],41,3.49,3.62,p,189.66,5.25,5,5,2,251.15,18.73,0,13,12,6,50,0.51,0.531,24.15,1,2,3,2,3,0,0,0,0,2,7,2,1
penny,penny,penny,[pE][nI],41,3.79,3.7,p,388.18,5.96,5,4,2,311.39,78.75,2,13,11,8,73,0.644,0.625,0,0,0,2,0,7,0,0,0,0,0,7,2,2
people,people,people,[pi:][p],57,4.6,3.92,p,10065.29,9.22,6,4,2,2287.1,1549.74,0,7,4,4,100,0.875,0.831,0,0,0,0,0,1,0,1,0,0,0,2,2,3
person,person,person,[p3:][s],39,5.12,4.74,p,5751.59,8.66,6,4,2,1084.99,386.01,1,4,2,0,0,0.134,0.116,0,0,0,0,0,0,0,0,0,0,0,0,2,2
pickle,pickle,pickle,[pI][k],30,4.79,4.7,p,159.71,5.07,6,4,2,1086.68,96.43,3,18,16,5,31,0.334,0.321,556.36,15,12,2,0,2,1,0,5,0,2,10,4,2
picnic,picnic,picnic,[pIk][nIk],43,4.68,4.71,p,172.74,5.15,6,6,2,245.05,44.24,0,13,12,8,67,0.543,0.585,84.22,3,5,0,0,4,0,0,0,0,0,4,8,1
picture,picture,picture,[pIk][tS@r*],44,3.76,3.77,p,1925.73,7.56,7,6,2,607.18,331.34,0,9,7,5,71,0.489,0.504,0,0,0,1,0,1,1,0,0,0,0,2,4,2
pig,pig,pig,[pIg],30,4.82,4.93,p,1218.13,7.11,3,3,1,214.89,NA,14,22,19,9,47,0.536,0.547,619.96,17,10,4,1,8,1,2,0,1,0,13,2,3
pillow,pillow,pillow,[pI][l@U],30,4.6,4.6,p,205.46,5.33,6,4,2,579.69,202.69,2,13,13,8,62,0.585,0.615,153.34,3,4,3,0,3,1,0,0,0,3,7,3,0
pizza,pizza,pizza,[pi:t][s@],106,4.59,4.62,p,699.5,6.55,5,5,2,83.29,3.68,0,18,16,9,56,0.469,0.448,256.57,5,4,3,1,9,0,0,2,0,0,12,1,2
plant,plant,plant,[plA:nt],45,4.24,4.18,p,420.07,6.04,5,5,1,1395.35,468.57,5,13,12,6,50,0.395,0.371,164.28,6,9,3,0,2,1,0,0,0,0,3,6,1
plate,plate,plate,[pleIt],30,4.32,4.27,p,828.83,6.72,5,4,1,1356.64,430.95,4,20,19,4,21,0.28,0.26,787.87,21,12,4,0,10,1,0,0,0,0,11,4,1
play_dough,play dough,play dough,[pleI][d@U],41,4.71,4.6,p,NA,NA,9,5,2,44.48,6.77,0,15,13,8,62,0.595,0.6,72.84,2,3,3,0,2,2,0,0,1,2,7,3,2
play_pen,play pen,play pen,[pleI][pEn],45,4.59,4.59,p,7.68,2.04,7,6,2,554.49,98.86,0,10,10,4,40,0.409,0.391,100.96,2,4,5,0,3,0,0,0,0,0,3,2,0
