Concept,CHILDES.count,CHILDES.freq.pm,CHILDES.ln_freq.pm
airplane,463,201.81080520331895,5.307330650605593
alligator,155,67.56085271385408,4.213028713438605
animal,1009,439.7993573437339,6.086318616872967
ankle,16,6.974023505946227,1.9421923187591397
ant,139,60.58682920790784,4.10407752965005
apple,1004,437.6199749981257,6.081350896771033
applesauce,51,22.229699925203597,3.101429229243684
arm,455,198.32379345034582,5.289901015470309
aunt,132,57.53569392405637,4.052405519105729
baby,5976,2604.7977794709154,7.865110323332011
babysitter,21,9.153405851554423,2.2141260342427813
backyard,34,14.819799950135732,2.69596412113552
ball,3538,1542.1309477523594,7.340920471239089
balloon,402,175.22234058689895,5.166055685138379
banana,566,246.7060815228478,5.508197674722541
basement,38,16.563305826622287,2.807189756245744
basket,349,152.12088772345206,5.024675518721786
bat_(baseball),109,47.51053513425867,3.8609514787485018
bathroom,213,92.84168792290914,4.530895762228783
bathtub,172,74.97075268892195,4.3170980733328115
beach,281,122.4812878231806,4.807958265853104
beads,179,78.02188797277341,4.356989402360114
beans,291,126.84005251439699,4.842926863690851
bear,2095,913.1612028098341,6.816912428875597
bed,1371,597.5866391657673,6.392899276081673
bedroom,138,60.1509527387862,4.096857281676563
bee,230,100.251587897977,4.607682905442553
belly_button,28,12.204541135405895,2.501808106694562
belt,67,29.203723431149825,3.3742962159103245
bench,56,24.40908227081179,3.1949552872545075
bib,132,57.53569392405637,4.052405519105729
bike,226,98.50808202149045,4.590138595791644
bird,1748,761.9120680246253,6.6358311527348395
blanket,435,189.60626406791303,5.244949627608042
block_(toy),1319,574.921062771442,6.354232749236673
boat,517,225.34813453588745,5.417646471027788
book,5315,2316.6834333815123,7.747891887295407
boots,237,103.30272318182848,4.637663737654489
bottle,692,301.6265166321743,5.709189552137028
bowl,446,194.40090522825108,5.269922548539422
box,2360,1028.6684671270684,6.936020494539014
boy,2541,1107.5621080380852,7.009916579839523
bread,334,145.5827406866275,4.980744589496059
broom,96,41.84414103567736,3.7339517879871944
brother,189,82.3806526639898,4.411350611579
brush,355,154.7361465381819,5.041721385994774
bubble,515,224.47638159764418,5.413770497183094
bucket,231,100.68746436709866,4.612021307041152
bug,409,178.27347587075042,5.18331875256216
bunny,1305,568.8187922037391,6.343561916276152
bus,683,297.7036284100796,5.696098456090149
butter,352,153.42851713081697,5.0332347721174555
butterfly,351,152.99264066169533,5.030389819985224
buttocks,6,2.615258814729835,0.9613630657474133
button,804,350.4446811737979,5.859202865698324
cake,468,203.99018754892714,5.318071892437005
camera,576,251.06484621406415,5.525711257215249
camping,12,5.23051762945967,1.6545102463073587
can,461,200.93905226507567,5.303001639516007
candy,162,70.61198799770554,4.257199931751742
car,3357,1463.2373068413428,7.288406593499393
carrot,391,170.42769942656093,5.138311156504725
cat,1268,552.6913628462386,6.31479973151653
cereal,395,172.1712053030475,5.14848936142048
chair,2033,886.1368617242924,6.786871410147705
chalk,54,23.537329332568515,3.158587643083633
cheek,103,44.89527631952883,3.804332584748994
cheerios,134,58.40744686229965,4.06744339647027
cheese,689,300.31888722480943,5.7048448675330174
chicken,664,289.4219754967684,5.667885745995792
child,899,391.8529457403536,5.970886630990979
chin,103,44.89527631952883,3.804332584748994
chocolate,284,123.78891723054554,4.818577834680564
church,39,16.99918229574393,2.8331652426490046
circus,61,26.58846461641999,3.2804774606926697
clock,251,109.40499374953143,4.695056535651142
closet,140,61.022705677029485,4.111246019128663
cloud,75,32.690735184122936,3.487091710055669
clown,405,176.52996999426387,5.1734906636258975
coat,218,95.02107026851733,4.554098659308448
coffee,631,275.0380520157543,5.6169094590605715
coke,41,17.870935233987204,2.883175663223666
comb,179,78.02188797277341,4.356989402360114
cookie,744,324.2920930264995,5.78164463135245
corn,180,78.45776444189505,4.362560447409568
couch,201,87.61117029344948,4.4729085045784345
country,57,24.844958739933432,3.2126548643539086
cow,1141,497.3350512677903,6.209263946381434
cowboy,75,32.690735184122936,3.487091710055669
cracker,266,115.94314078635601,4.753099905301057
crayon,914,398.3910927771782,5.987434167973508
crib,137,59.71507626966457,4.089584522347483
cup,1029,448.5168867261667,6.105946332353408
daddy,5904,2573.414673694158,7.8529889627996665
deer,58,25.280835209055073,3.230046607065778
diaper,718,312.95930482933693,5.746073165567583
dish,137,59.71507626966457,4.089584522347483
doctor,252,109.84087021865307,4.699032684030781
dog,1628,709.6068917300286,6.564711143081844
doll,561,244.52669917723955,5.499324502042055
donkey,317,138.17284071155964,4.928505370396639
donut,24,10.46103525891934,2.347657426867304
door,1233,537.4356864269811,6.286809099683703
downtown,3,1.3076294073649175,0.26821588518746803
drawer_(the_furniture),151,65.81734683736751,4.186883433334282
dress,335,146.01861715574913,4.983734128344425
drink,378,164.7613053279796,5.104497792138946
dryer,25,10.896911728040978,2.388479421387559
duck,1622,706.9916329152987,6.561018831194716
ear,594,258.91062265825366,5.556482915882003
egg,1120,488.1816454162359,6.190687560808499
elephant,757,329.95848712508086,5.798966849956807
eye,1288,561.4088922286712,6.330449503183657
face,891,388.3659339873805,5.961948023990168
farm,271,118.12252313196421,4.771722417399059
feet,1535,669.0703801017162,6.505889256540656
finger,828,360.90571643271727,5.888616750904618
fireman,89,38.79300575182589,3.6582399662514984
firetruck,57,24.844958739933432,3.2126548643539086
fish_(a_food),824,359.16221055623066,5.88377412642883
fish_(the_animal),824,359.16221055623066,5.88377412642883
flag,48,20.92207051783868,3.0408046074272495
flower,824,359.16221055623066,5.88377412642883
food,788,343.4706576678517,5.839101686377237
fork,140,61.022705677029485,4.111246019128663
french_fries,1,0.4358764691216392,-0.8303964034806417
friend,710,309.4722930763638,5.734868566554719
frog,479,208.78482870926516,5.341304193930274
game,406,176.9658464633855,5.175956756121091
garage,176,76.71425856540849,4.34008759155751
garbage,250,108.96911728040979,4.691064514381605
garden,123,53.61280570196162,3.981787951891776
gas_station,2,0.8717529382432784,-0.13724922292069633
giraffe,233,101.55921730534193,4.620642050085059
girl,1911,832.9599324914524,6.724985540759631
glass,396,172.60708177216912,5.151017807773839
glasses,396,172.60708177216912,5.151017807773839
gloves,100,43.58764691216391,3.7747737825074497
glue,61,26.58846461641999,3.2804774606926697
goose,187,81.50889972574652,4.400712213373945
grandma,461,200.93905226507567,5.303001639516007
grandpa,175,76.27838209628685,4.334389570442872
grape,292,127.27592898351863,4.84635739878764
grass,265,115.50726431723437,4.749333422505581
green_beans,1,0.4358764691216392,-0.8303964034806417
gum,71,30.947229307636384,3.4322834735606738
hair,1407,613.2781920541463,6.418818653633747
hamburger,133,57.971570393178006,4.059952724741112
hammer,306,133.3781995512216,4.893188698471739
hand,2202,959.7999850058494,6.866724913801984
hat,1703,742.2976269141515,6.609750277182046
head,1323,576.6645686479286,6.357260760634314
helicopter,95,41.40826456655572,3.723480488119899
hen,78,33.99836459148786,3.52631242320895
high_chair,172,74.97075268892195,4.3170980733328115
home,1150,501.257939489885,6.217120817876654
horse,1023,445.9016279114369,6.100098362470985
hose,67,29.203723431149825,3.3742962159103245
house,2335,1017.7715553990275,6.925370766622356
ice,359,156.47965241466846,5.052925985007637
ice_cream,208,90.66230557730096,4.507141676220677
jacket,134,58.40744686229965,4.06744339647027
jar,109,47.51053513425867,3.8609514787485018
jeans,30,13.076294073649175,2.5708009781815138
jello,42,18.306811703108846,2.9072732148027267
jelly,121,52.741052763718336,3.965394142116099
juice,1065,464.20843961454574,6.140333674662884
key,335,146.01861715574913,4.983734128344425
kitchen,428,186.55512878406157,5.228726792101155
kitty,1413,615.8934508688761,6.423073979203886
knee,230,100.251587897977,4.607682905442553
knife,118,51.43342335635342,3.940288220985023
ladder,155,67.56085271385408,4.213028713438605
lady,515,224.47638159764418,5.413770497183094
lamb,279,121.60953488493733,4.800815378340724
lamp,48,20.92207051783868,3.0408046074272495
lawn_mower,15,6.538147036824587,1.8776537976215684
leg,480,209.2207051783868,5.3433897004212945
light,884,385.31479870352905,5.954060659157002
lion,563,245.39845211548288,5.5028832246590484
lips,69,30.0754763693931,3.4037101011166175
living_room,35,15.255676419257371,2.724951658008772
lollipop,73,31.818982245879656,3.4600630376677493
mailman,69,30.0754763693931,3.4037101011166175
man,1221,532.2051687975214,6.277029070630063
meat,119,51.86929982547506,3.9487270896308875
medicine,214,93.27756439203078,4.53557961154121
melon,16,6.974023505946227,1.9421923187591397
milk,1205,525.2311452915752,6.263838442444114
mittens,110,47.94641160338031,3.8700839623117744
mommy,9596,4182.670597691249,8.338705220478943
money,341,148.63387597047898,5.001486073802876
monkey,750,326.90735184122934,5.789676803049715
moon,452,197.0161640429809,5.2832857763515895
moose,54,23.537329332568515,3.158587643083633
mop,45,19.614441110473763,2.976266086289678
motorcycle,270,117.68664666284258,4.768025555517733
mouse,818,356.54695174150083,5.876465933122105
mouth,1233,537.4356864269811,6.286809099683703
movies,100,43.58764691216391,3.7747737825074497
muffin,78,33.99836459148786,3.52631242320895
nail_(an_object),107,46.63878219601539,3.8424324309812645
napkin,164,71.48374093594882,4.269470024343557
necklace,102,44.459399850407195,3.7945764098036294
noodles,107,46.63878219601539,3.8424324309812645
nose,1367,595.8431332892808,6.389977433243308
nurse,130,56.66394098581309,4.037138046974941
nuts,107,46.63878219601539,3.8424324309812645
orange,554,241.47556389338808,5.486768283266642
outside,31,13.512170542770814,2.6035908010045046
oven,73,31.818982245879656,3.4600630376677493
owie/boo_boo,62,27.02434108554163,3.29673798156445
owl,296,129.0194348600052,4.859963050843419
pajamas,164,71.48374093594882,4.269470024343557
pancake,197,85.86766441696292,4.452807325257347
pants,288,125.53242310703207,4.832564076655304
paper,1336,582.33096274651,6.3670389506159495
park,170,74.09899975067866,4.30540203356962
party,261,113.76375844074784,4.734124003842052
peanut_butter,127,55.35631157844817,4.01379068297795
peas,141,61.45858214615113,4.118363486897526
pen,459,200.06729932683237,5.298653806579903
pencil,363,158.22315829115502,5.064006430784209
penguin,150,65.38147036824587,4.180238890615614
penis,5,2.1793823456081958,0.7790415089534587
penny,165,71.91961740507047,4.275549070419939
people,1259,548.7684746241438,6.307676630563706
person,1259,548.7684746241438,6.307676630563706
pickle,100,43.58764691216391,3.7747737825074497
picnic,116,50.56167041811015,3.9231937876257232
picture,1962,855.1896324166561,6.751323236644667
pig,899,391.8529457403536,5.970886630990979
pillow,340,148.19799950135732,4.998549214129565
pizza,103,44.89527631952883,3.804332584748994
plant,119,51.86929982547506,3.9487270896308875
plate,258,112.45612903338291,4.722563181440976
play_dough,191,83.25240560223308,4.421877024565989
play_pen,15,6.538147036824587,1.8776537976215684
playground,119,51.86929982547506,3.9487270896308875
police,102,44.459399850407195,3.7945764098036294
pony,220,95.89282320676062,4.56323114287172
pool,113,49.254041010745226,3.8969914152316987
popcorn,47,20.48619404871704,3.0197511982294167
popsicle,51,22.229699925203597,3.101429229243684
porch,29,12.640417604527537,2.5368994265058324
potato,177,77.15013503453014,4.345753329093188
potato_chips,2,0.8717529382432784,-0.13724922292069633
potty,14,6.102270567702948,1.8086609261346167
present,251,109.40499374953143,4.695056535651142
pretzel,115,50.1257939489885,3.9145357248826085
pudding,56,24.40908227081179,3.1949552872545075
pumpkin,314,136.8652113041947,4.918996582427612
puppy,771,336.0607576927838,5.817291970082688
purse,112,48.81816454162358,3.888102467814453
puzzle,539,234.93741685656352,5.459319167428355
radio,105,45.767029257772116,3.823563946676882
rain,214,93.27756439203078,4.53557961154121
raisin,316,137.73696424243798,4.92534581010627
refrigerator,254,110.71262315689634,4.7069378635378945
rock,264,115.07138784811274,4.745552699665675
rocker,12,5.23051762945967,1.6545102463073587
roof,144,62.76621155351604,4.139416896095359
room,1096,477.72061015731657,6.169026064027319
rooster,187,81.50889972574652,4.400712213373945
salt,112,48.81816454162358,3.888102467814453
sandbox,65,28.331970492906546,3.3439908664149955
sandwich,239,104.17447612007176,4.646067148450869
sauce,100,43.58764691216391,3.7747737825074497
scarf,57,24.844958739933432,3.2126548643539086
school,889,387.49418104913724,5.9597008320332625
scissors,117,50.997546887231785,3.9317775313171146
sheep,457,199.1955463885891,5.294286987413563
shirt,732,319.0615753970399,5.76538411048067
shoes,1390,605.8682920790784,6.406662622644095
shorts,60,26.15258814729835,3.263948158741459
shoulder,59,25.71671167817671,3.2471410404250776
shovel,143,62.330335084394406,4.132448226779266
shower,168,73.22724681243538,4.2935675759226175
sidewalk,45,19.614441110473763,2.976266086289678
sink,123,53.61280570196162,3.981787951891776
sister,352,153.42851713081697,5.0332347721174555
sky,280,122.04541135405897,4.804393199688608
sled,66,28.767846962028184,3.359258338545784
slide,391,170.42769942656093,5.138311156504725
slippers,150,65.38147036824587,4.180238890615614
sneaker,64,27.896094023784908,3.3284866798790302
snow,489,213.14359340048156,5.36196608599423
snowman,236,102.86684671270685,4.633435401544968
snowsuit,6,2.615258814729835,0.9613630657474133
soap,153,66.6890997756108,4.200041517911794
socks,552,240.6038109551448,5.483151642796454
soda/pop,166,72.3554938741921,4.2815913848759015
sofa,54,23.537329332568515,3.158587643083633
soup,265,115.50726431723437,4.749333422505581
spaghetti,103,44.89527631952883,3.804332584748994
spoon,818,356.54695174150083,5.876465933122105
sprinkler,34,14.819799950135732,2.69596412113552
squirrel,189,82.3806526639898,4.411350611579
stairs,241,105.04622905831503,4.6544005300100135
star_(outside),441,192.2215228826429,5.258648471966205
stick,242,105.48210552743667,4.658541322676045
stone,123,53.61280570196162,3.981787951891776
store,479,208.78482870926516,5.341304193930274
story,918,400.13459865366474,5.9918009871398485
stove,103,44.89527631952883,3.804332584748994
strawberry,224,97.63632908324716,4.581249648374398
street,220,95.89282320676062,4.56323114287172
stroller,91,39.664758690069164,3.6804631030362085
sun,420,183.06811703108846,5.209858307796773
sweater,114,49.689917479866864,3.905802044913854
swing,250,108.96911728040979,4.691064514381605
table,1202,523.9235158842102,6.261345711614511
tape_(scotch),979,426.72306327008477,6.056135239049869
teacher,98,42.71589397392064,3.75457107518993
teddy_bear,58,25.280835209055073,3.230046607065778
telephone,387,168.68419355007435,5.12802828954914
tiger,283,123.3530407614239,4.8150504941625965
tights,16,6.974023505946227,1.9421923187591397
tissue/kleenex,410,178.70935233987205,5.185760756217712
toast,386,168.24831708095272,5.125440965984189
toe,492,214.45122280784648,5.368082313011667
tongue,221,96.32869967588226,4.567766298037111
tooth,602,262.39763441122676,5.5698610418281795
toothbrush,124,54.04868217108326,3.9898851621243954
towel,369,160.83841710588487,5.080400240559886
toy,1755,764.96320330847675,6.639827732419325
tractor,298,129.89118779824847,4.8666970830247624
train,1479,644.6612978309043,6.468725059230158
trash,102,44.459399850407195,3.7945764098036294
tray,119,51.86929982547506,3.9487270896308875
tree,1145,499.07855714427683,6.212763512507698
tricycle,42,18.306811703108846,2.9072732148027267
truck,1570,684.3260565209736,6.528434494861712
tummy,248,108.09736434216651,4.68303234268434
tuna,30,13.076294073649175,2.5708009781815138
turkey,236,102.86684671270685,4.633435401544968
turtle,343,149.50562890872226,5.007334043685298
TV,300,130.76294073649174,4.87338607117556
uncle,182,79.32951738013833,4.373610283596154
underpants,37,16.12742935750065,2.7805215091635826
vacuum,52,22.66557639432524,3.120847315100786
vagina,2,0.8717529382432784,-0.13724922292069633
vanilla,29,12.640417604527537,2.5368994265058324
vitamins,45,19.614441110473763,2.976266086289678
walker,9,3.9228882220947523,1.3668281738555776
washing_machine,6,2.615258814729835,0.9613630657474133
watch,784,341.72715179136515,5.834012616869766
water_(a_drink),1606,700.0176094093525,6.551105491026066
water_(found_outdoors),1606,700.0176094093525,6.551105491026066
wind,136,59.279199800542926,4.08225848225541
window,494,215.32297574608975,5.372139113707281
wolf,103,44.89527631952883,3.804332584748994
woods,196,85.43178794784129,4.447718255749876
work,581,253.24422855967234,5.53435435337127
yard,63,27.460217554663267,3.312738322910891
yogurt,366,159.53078769851996,5.072236929920725
zebra,174,75.84250562716521,4.328658895733887
zipper,54,23.537329332568515,3.158587643083633
zoo,380,165.6330582662229,5.109774849239789
